district_code,district_name,v024
1,kupwara,1
2,badgam,1
3,leh(ladakh),37
4,kargil,37
5,punch,1
6,rajouri,1
7,kathua,1
8,baramula,1
9,bandipore,1
10,srinagar,1
11,ganderbal,1
12,pulwama,1
13,shupiyan,1
14,anantnag,1
15,kulgam,1
16,doda,1
17,ramban,1
18,kishtwar,1
19,udhampur,1
20,reasi,1
21,jammu,1
22,samba,1
23,chamba,2
24,kangra,2
25,lahul & spiti,2
26,kullu,2
27,mandi,2
28,hamirpur,2
29,una,2
30,bilaspur,2
31,solan,2
32,sirmaur,2
33,shimla,2
34,kinnaur,2
36,kapurthala,3
37,jalandhar,3
38,hoshiarpur,3
39,shahid bhagat singh nagar,3
40,fatehgarh sahib,3
41,ludhiana,3
42,moga,3
44,muktsar,3
45,faridkot,3
46,bathinda,3
47,mansa,3
48,patiala,3
49,amritsar,3
50,tarn taran,3
51,rupnagar,3
52,sahibzada ajit singh nagar,3
53,sangrur,3
54,barnala,3
55,chandigarh,4
56,uttarkashi,5
57,chamoli,5
58,rudraprayag,5
59,tehri garhwal,5
60,dehradun,5
61,garhwal,5
62,pithoragarh,5
63,bageshwar,5
64,almora,5
65,champawat,5
66,nainital,5
67,udham singh nagar,5
68,hardwar,5
69,panchkula,6
70,ambala,6
71,yamunanagar,6
72,kurukshetra,6
73,kaithal,6
74,karnal,6
75,panipat,6
76,sonipat,6
77,jind,6
78,fatehabad,6
79,sirsa,6
80,hisar,6
82,rohtak,6
83,jhajjar,6
84,mahendragarh,6
85,rewari,6
86,gurgaon,6
87,mewat,6
88,faridabad,6
89,palwal,6
99,ganganagar,8
100,hanumangarh,8
101,bikaner,8
102,churu,8
103,jhunjhunun,8
104,alwar,8
105,bharatpur,8
106,dhaulpur,8
107,karauli,8
108,sawai madhopur,8
109,dausa,8
110,jaipur,8
111,sikar,8
112,nagaur,8
113,jodhpur,8
114,jaisalmer,8
115,barmer,8
116,jalor,8
117,sirohi,8
118,pali,8
119,ajmer,8
120,tonk,8
121,bundi,8
122,bhilwara,8
123,rajsamand,8
124,dungarpur,8
125,banswara,8
126,chittaurgarh,8
127,kota,8
128,baran,8
129,jhalawar,8
130,udaipur,8
131,pratapgarh,8
132,saharanpur,9
134,bijnor,9
136,rampur,9
137,jyotiba phule nagar,9
138,meerut,9
139,baghpat,9
141,gautam buddha nagar,9
142,bulandshahr,9
143,aligarh,9
144,mahamaya nagar,9
145,mathura,9
146,agra,9
147,firozabad,9
148,mainpuri,9
150,bareilly,9
151,pilibhit,9
152,shahjahanpur,9
153,kheri,9
154,sitapur,9
155,hardoi,9
156,unnao,9
157,lucknow,9
159,farrukhabad,9
160,kannauj,9
161,etawah,9
162,auraiya,9
163,kanpur dehat,9
164,kanpur nagar,9
165,jalaun,9
166,jhansi,9
167,lalitpur,9
168,hamirpur,9
169,mahoba,9
170,banda,9
171,chitrakoot,9
172,fatehpur,9
173,pratapgarh,9
174,kaushambi,9
175,allahabad,9
176,bara banki,9
177,faizabad,9
178,ambedkar nagar,9
180,bahraich,9
181,shrawasti,9
182,balrampur,9
183,gonda,9
184,siddharthnagar,9
185,basti,9
186,sant kabir nagar,9
187,mahrajganj,9
188,gorakhpur,9
189,kushinagar,9
190,deoria,9
191,azamgarh,9
192,mau,9
193,ballia,9
194,jaunpur,9
195,ghazipur,9
196,chandauli,9
197,varanasi,9
198,sant ravidas nagar (bhadohi),9
199,mirzapur,9
200,sonbhadra,9
201,etah,9
202,kanshiram nagar,9
203,pashchim champaran,10
204,purba champaran,10
205,sheohar,10
206,sitamarhi,10
207,madhubani,10
208,supaul,10
209,araria,10
210,kishanganj,10
211,purnia,10
212,katihar,10
213,madhepura,10
214,saharsa,10
215,darbhanga,10
216,muzaffarpur,10
217,gopalganj,10
218,siwan,10
219,saran,10
220,vaishali,10
221,samastipur,10
222,begusarai,10
223,khagaria,10
224,bhagalpur,10
225,banka,10
226,munger,10
227,lakhisarai,10
228,sheikhpura,10
229,nalanda,10
230,patna,10
231,bhojpur,10
232,buxar,10
233,kaimur (bhabua),10
234,rohtas,10
235,aurangabad,10
236,gaya,10
237,nawada,10
238,jamui,10
239,jehanabad,10
240,arwal,10
241,north  district,11
242,west district,11
243,south district,11
244,east district,11
245,tawang,12
246,west kameng,12
247,east kameng,12
248,papum pare,12
249,upper subansiri,12
252,upper siang,12
253,changlang,12
255,lower subansiri,12
257,dibang valley,12
258,lower dibang valley,12
260,anjaw,12
261,mon,13
262,mokokchung,13
263,zunheboto,13
264,wokha,13
265,dimapur,13
266,phek,13
267,tuensang,13
268,longleng,13
269,kiphire,13
270,kohima,13
271,peren,13
272,senapati,14
273,tamenglong,14
274,churachandpur,14
275,bishnupur,14
276,thoubal,14
277,imphal west,14
278,imphal east,14
279,ukhrul,14
280,chandel,14
281,mamit,15
282,kolasib,15
283,aizawl,15
284,champhai,15
285,serchhip,15
286,lunglei,15
287,lawngtlai,15
288,saiha,15
291,dhalai,16
295,south garo hills,17
297,ribhoi,17
298,east khasi hills,17
300,kokrajhar,18
302,goalpara,18
303,barpeta,18
304,morigaon,18
307,lakhimpur,18
308,dhemaji,18
309,tinsukia,18
310,dibrugarh,18
313,golaghat,18
315,dima hasao,18
316,cachar,18
317,karimganj,18
318,hailakandi,18
319,bongaigaon,18
320,chirang,18
321,kamrup,18
322,kamrup metropolitan,18
323,nalbari,18
324,baksa,18
325,darrang,18
326,udalguri,18
327,darjiling,19
328,jalpaiguri,19
329,koch bihar,19
330,uttar dinajpur,19
331,dakshin dinajpur,19
332,maldah,19
333,murshidabad,19
334,birbhum,19
336,nadia,19
337,north twenty four parganas,19
338,hugli,19
339,bankura,19
340,puruliya,19
341,haora,19
342,kolkata,19
343,south twenty four parganas,19
344,paschim medinipur,19
345,purba medinipur,19
346,garhwa,20
347,chatra,20
348,kodarma,20
349,giridih,20
350,deoghar,20
351,godda,20
352,sahibganj,20
353,pakur,20
354,dhanbad,20
355,bokaro,20
356,lohardaga,20
357,purbi singhbhum,20
358,palamu,20
359,latehar,20
360,hazaribagh,20
361,ramgarh,20
362,dumka,20
363,jamtara,20
364,ranchi,20
365,khunti,20
366,gumla,20
367,simdega,20
368,pashchimi singhbhum,20
369,saraikela-kharsawan,20
370,bargarh,21
371,jharsuguda,21
372,sambalpur,21
373,debagarh,21
374,sundargarh,21
