sdist,v024,district_code
1,1,1
2,1,2
5,1,3
6,1,4
7,1,5
8,1,6
9,1,7
10,1,8
11,1,9
12,1,10
13,1,11
14,1,12
15,1,13
16,1,14
17,1,15
18,1,16
19,1,17
20,1,18
21,1,19
22,1,20
23,2,21
24,2,22
25,2,23
26,2,24
27,2,25
28,2,26
29,2,27
30,2,28
31,2,29
32,2,30
33,2,31
34,2,32
36,3,33
37,3,34
38,3,35
39,3,36
40,3,37
41,3,38
42,3,39
44,3,40
45,3,41
46,3,42
47,3,43
48,3,44
49,3,45
50,3,46
51,3,47
52,3,48
53,3,49
54,3,50
879,3,51
880,3,52
881,3,53
882,3,54
55,4,55
56,5,56
57,5,57
58,5,58
59,5,59
60,5,60
61,5,61
62,5,62
63,5,63
64,5,64
65,5,65
66,5,66
67,5,67
68,5,68
69,6,69
70,6,70
71,6,71
72,6,72
73,6,73
74,6,74
75,6,75
76,6,76
77,6,77
78,6,78
79,6,79
80,6,80
82,6,81
83,6,82
84,6,83
85,6,84
86,6,85
87,6,86
88,6,87
89,6,88
865,6,89
866,6,90
837,7,91
838,7,92
839,7,93
840,7,94
841,7,95
842,7,96
843,7,97
844,7,98
845,7,99
846,7,100
847,7,101
99,8,102
100,8,103
101,8,104
102,8,105
103,8,106
104,8,107
105,8,108
106,8,109
107,8,110
108,8,111
109,8,112
110,8,113
111,8,114
112,8,115
113,8,116
114,8,117
115,8,118
116,8,119
117,8,120
118,8,121
119,8,122
120,8,123
121,8,124
122,8,125
123,8,126
124,8,127
125,8,128
126,8,129
127,8,130
128,8,131
129,8,132
130,8,133
131,8,134
132,9,135
134,9,136
136,9,137
137,9,138
138,9,139
139,9,140
141,9,141
142,9,142
143,9,143
144,9,144
145,9,145
146,9,146
147,9,147
148,9,148
150,9,149
151,9,150
152,9,151
153,9,152
154,9,153
155,9,154
156,9,155
157,9,156
159,9,157
160,9,158
161,9,159
162,9,160
163,9,161
164,9,162
165,9,163
166,9,164
167,9,165
168,9,166
